Unnamed: 0,Name,CURRENCY,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0.0,BANK AL HABIB LTD - Earn_assets,PR,0,89.97,88.84,86.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.4,87.59,88.92,89.12,88.15,88.21,0.0
0.0,BANK AL HABIB LTD - Prov_Loss,PR,0,37167.0,-18464.0,4423.0,0.0,52144.0,118632.0,108181.0,-15090.0,73817.0,19652.0,92687.0,984987.0,1183026.0,946296.0,1820788.0,466101.0,479791.0,558452.0,1965335.0
0.0,BANK AL HABIB LTD - actual_losses,PR,0,40288.0,7242.0,4423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1985668.0,799540.0,869774.0,777214.0,1732123.0
0.0,BANK AL HABIB LTD - foreign_assets_growth,PR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.38,7.81,76.13,0.0,0.0,0.0
0.0,WC08720,0,"$$ER: 4540,NO DATA VALUES FOUND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,BANK AL HABIB LTD - Total_Assets - 1 YR ANNUAL GRO,PR,0,0.0,2.32,17.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.81,27.41,17.9,0.0,25.66,0.0
0.0,BANK AL HABIB LTD - Total_Assets - 5 YR ANNUAL GRO,PR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.32,0.0
0.0,WC02003,0,"$$ER: 4540,NO DATA VALUES FOUND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,BANK AL HABIB LTD - Total_Deposits,PR,0,13445196.0,13225945.0,14112870.0,17585388.0,24696787.0,34240158.0,46178048.0,62170628.0,75728689.0,91371949.0,114818032.0,144340496.0,189148427.0,249760885.0,302097187.0,340386558.0,372029010.0,436652665.0,503693445.0
0.0,WC02201,0,"$$ER: 4540,NO DATA VALUES FOUND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,WC03101,0,"$$ER: 4540,NO DATA VALUES FOUND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
